,Odds Ratio of ____ (95% CI),P-value
7,"0.78 (0.75, 0.81)",< 0.00001
3,"0.81 (0.78, 0.84)",< 0.00001
2,"0.81 (0.78, 0.84)",< 0.00001
0,"1.13 (1.1, 1.17)",< 0.00001
9,"0.92 (0.89, 0.95)",< 0.00001
4,"1.09 (1.06, 1.12)",< 0.00001
6,"1.07 (1.04, 1.1)",1e-05
5,"0.98 (0.95, 1.01)",0.12197
8,"0.98 (0.95, 1.01)",0.26337
1,"0.99 (0.96, 1.02)",0.50803
