,Odds Ratio of ____ (95% CI),P-value
7,"0.37 (0.32, 0.41)",< 0.00001
3,"0.41 (0.36, 0.45)",< 0.00001
5,"0.53 (0.48, 0.57)",< 0.00001
2,"0.52 (0.48, 0.57)",< 0.00001
9,"1.66 (1.62, 1.7)",< 0.00001
6,"0.79 (0.75, 0.83)",< 0.00001
0,"0.84 (0.79, 0.88)",< 0.00001
1,"1.12 (1.08, 1.17)",< 0.00001
8,"1.05 (1.01, 1.09)",0.02388
4,"1.03 (0.99, 1.07)",0.17924
