,Odds Ratio of ____ (95% CI),P-value
8,"0.74 (0.66, 0.81)",< 0.00001
3,"0.78 (0.7, 0.86)",< 0.00001
9,"1.08 (1.01, 1.15)",0.03565
1,"1.06 (0.98, 1.13)",0.12916
0,"0.95 (0.88, 1.02)",0.1872
5,"1.04 (0.96, 1.12)",0.32013
4,"1.03 (0.96, 1.11)",0.40961
7,"0.98 (0.9, 1.05)",0.57056
2,"0.98 (0.91, 1.06)",0.61232
6,"0.99 (0.92, 1.07)",0.79638
