,Odds Ratio of ____ (95% CI),P-value
7,"0.73 (0.65, 0.8)",< 0.00001
2,"0.82 (0.75, 0.9)",< 0.00001
0,"1.21 (1.13, 1.28)",< 0.00001
1,"0.88 (0.8, 0.95)",0.00068
6,"1.13 (1.06, 1.2)",0.00127
3,"0.91 (0.83, 0.98)",0.01008
4,"1.09 (1.01, 1.16)",0.03182
5,"0.94 (0.86, 1.01)",0.08753
9,"0.98 (0.91, 1.05)",0.57175
8,"0.99 (0.91, 1.06)",0.73602
