,Odds Ratio of ____ (95% CI),P-value
8,"0.79 (0.76, 0.82)",< 0.00001
0,"1.19 (1.16, 1.22)",< 0.00001
3,"0.85 (0.82, 0.88)",< 0.00001
2,"0.87 (0.84, 0.9)",< 0.00001
6,"1.15 (1.12, 1.18)",< 0.00001
4,"0.92 (0.9, 0.95)",< 0.00001
7,"0.96 (0.93, 0.99)",0.00455
1,"0.97 (0.94, 1.0)",0.06206
9,"1.02 (0.99, 1.05)",0.21835
5,"0.99 (0.97, 1.02)",0.72092
