,Odds Ratio of ____ (95% CI),P-value
9,"0.77 (0.71, 0.82)",< 0.00001
7,"1.26 (1.21, 1.31)",< 0.00001
0,"1.23 (1.18, 1.28)",< 0.00001
1,"0.85 (0.8, 0.91)",< 0.00001
3,"1.14 (1.09, 1.19)",< 0.00001
5,"1.14 (1.08, 1.19)",< 0.00001
2,"1.1 (1.05, 1.16)",0.00024
4,"0.93 (0.87, 0.98)",0.00517
6,"1.02 (0.96, 1.07)",0.51881
8,"1.02 (0.96, 1.07)",0.51894
