,Coef.,Std.Err.,z,P>|z|,[0.025,0.975],OR,OR CI
8,-0.5542650348422238,0.03271828293328367,-16.94052942730625,2.2608081088016108e-64,-0.6183916910274513,-0.4901383786569963,1.7406611892035502,0.0641266561852275
5,-0.4678918774999631,0.02910000498313008,-16.078755923623053,3.595265193526239e-58,-0.5249268392168341,-0.410856915783092,1.5966247622931453,0.05703496171687106
7,-0.4574868750448803,0.029222961355709155,-15.655048421555783,3.0687959622946807e-55,-0.514762826823676,-0.40021092326608454,1.5800980072890547,0.057275951778795735
6,-0.3833445992402447,0.029132456184159633,-13.158677621170954,1.5171798646697496e-39,-0.44044316414238877,-0.3262460343381007,1.4671835332962555,0.05709856490214405
2,0.16893018178912542,0.029930766287770597,5.644031300934268,1.66113853222743e-08,0.11026695783540943,0.2275934057428414,1.1840374686603876,0.05866322395371598
1,0.15588027709268787,0.02851472515717506,5.466658936162472,4.58597233224153e-08,0.09999244275556651,0.21176811142980922,1.1686862761950871,0.05588783433712135
3,0.12611142216358867,0.027857589367609976,4.527004131600075,5.982577086298295e-06,0.07151155030696718,0.18071129402021016,1.1344085594975957,0.05459987185662149
4,0.11559254278744394,0.027630792928073578,4.1834681722072125,2.870953001604311e-05,0.0614371837841357,0.16974790179075216,1.1225383925734858,0.054155359003308236
0,-0.12151575009792624,0.029410686049366884,-4.131687030148081,3.601105117183585e-05,-0.17915963551529995,-0.06387186468055255,1.1292071509083055,0.0576438854173737
9,0.0017655069116634216,0.027849096184472087,0.06339548328494127,0.9494515838350057,-0.05281771861189371,0.056348732435220546,1.0017670663365812,0.05458322552355713
