,Coef.,Std.Err.,z,P>|z|,[0.025,0.975],OR,OR CI
5,0.24827140160415895,0.060764414234813185,4.0858025989481055,4.392471210860186e-05,0.12917533816225213,0.36736746504606577,1.2818077696749741,0.11909606344190683
6,-0.2491572647381423,0.062037716611781556,-4.016222361911124,5.913845973762068e-05,-0.37074895498033633,-0.12756557449594821,1.2829437790230926,0.12159169024219407
1,0.23834979402730896,0.060290809709139234,3.9533354283543236,7.706927783443398e-05,0.12018197839863826,0.3565176096559797,1.2691530573490069,0.11816781562867071
4,-0.1422785276094004,0.06043960051855168,-2.3540613503183003,0.01856954598984329,-0.2607379678657501,-0.023819087353050744,1.1528977176668056,0.11845944025634966
8,0.1343856454184076,0.0605457643846708,2.2195713735580793,0.02644787727820336,0.01571812780800494,0.2530531630288103,1.1438338488819695,0.11866751761040267
7,0.055008641420026316,0.0602305462167695,0.9133013873400787,0.3610840529139123,-0.06304105993401711,0.17305834277406973,1.0565497447261687,0.11804970135404343
2,0.05281586842193561,0.06045845242509707,0.8735894867201576,0.38234185362942086,-0.06568052089228293,0.17131225773615416,1.0542355091986675,0.11849638931421855
0,0.023842251828783557,0.06016086598968066,0.3963083216400708,0.691877588986302,-0.09407087878973117,0.1417553824472983,1.0241287507099783,0.11791313061851473
9,0.022724854132513357,0.06026025116024399,0.37711183898127887,0.7060904934005814,-0.09538306784090286,0.1408327761059296,1.0229850307172952,0.11810792197341623
3,0.016461606526929805,0.060019509269160644,0.274270928359425,0.7838764239912208,-0.101174470010393,0.1340976830642526,1.0165978453147861,0.1176360765373228
