,Coef.,Std.Err.,z,P>|z|,[0.025,0.975],OR,OR CI
8,0.22842067902750193,0.021139315673956303,10.805490705118562,3.242188174371474e-27,0.18698838164872453,0.26985297640627937,1.2566138453463338,0.04143229737877741
1,-0.20053496242853522,0.02188211046250561,-9.16433370410712,4.9853994890140423e-20,-0.2434231108407733,-0.15764681401629713,1.2220563375505167,0.0428881484122381
7,0.08339237991117761,0.021910014546482948,3.8061307414587713,0.00014115778354618845,0.040449540499322346,0.12633521932303288,1.08696822938058,0.04294283941185526
0,-0.0629249078755685,0.021256875211418984,-2.9602143894492006,0.003074250252808109,-0.10458761771381195,-0.021262198037325035,1.064946867106047,0.04166270983824346
6,0.05033667836449013,0.02178413421497237,2.3107036464131503,0.02084922969914854,0.007640559868757557,0.0930327968602227,1.0516250961980844,0.04269611849573257
2,0.04279239088016694,0.0213634140696809,2.0030689261833943,0.045169890762094746,0.000920868716776109,0.08466391304355778,1.0437211863192144,0.04187152216339083
4,0.024040199663360507,0.02191336068336443,1.0970567230981905,0.27261659678997785,-0.018909198056269807,0.06698959738299082,1.0243314948442284,0.042949397719630314
3,-0.023257330419868872,0.021883518813095578,-1.0627783684382228,0.28788247149786095,-0.06614823914854091,0.019633578308803173,1.0235298910381985,0.042890908728672045
9,-0.012240544148842415,0.02187944835002013,-0.5594539657957671,0.5758519399599594,-0.055123474916486184,0.03064238661880135,1.012315766215722,0.04288293076764377
5,0.005784259456539412,0.021755028603691506,0.26588149167305203,0.7903304797060478,-0.036854813089334644,0.048423332002413465,1.0058010205865946,0.042639072545874054
