,Coef.,Std.Err.,z,P>|z|,[0.025,0.975],OR,OR CI
1,-0.757071350104195,0.08348325107179733,-9.068541777956131,1.2062041936114354e-19,-0.9206955155172326,-0.5934471846911574,2.1320231191082217,0.16362416541303762
0,-0.672298953085054,0.0864052483596019,-7.780765241100588,7.208715645401655e-15,-0.8416501279451123,-0.5029477782249958,1.958735188766045,0.1693511748600583
2,0.2602023332347913,0.07685854238876,3.385470569018285,0.0007105632872562794,0.1095623582485766,0.410842308221006,1.2971925252746361,0.1506399749862147
9,0.14674619825668395,0.08206804696988548,1.7881039414832405,0.07375923983621012,-0.01410421808583312,0.307596614599201,1.1580600080793786,0.16085041634251707
6,-0.10512744780159886,0.08125893236716336,-1.29373405161893,0.19575729911409745,-0.26439202866341516,0.05413713306021742,1.1108521770021949,0.15926458086181627
4,-0.10557374781512238,0.08539859210915311,-1.2362469357829948,0.21636678899490058,-0.27295191267948893,0.061804417049244165,1.1113480609920983,0.16737816486436655
7,-0.06331778315232593,0.08169519025118084,-0.7750490935592224,0.43831065062022956,-0.2234374137547881,0.09680184745013624,1.0653653405997554,0.16011963060246218
5,0.04421414853167415,0.08304370978693378,0.5324201994963245,0.5944349980737388,-0.11854853179331246,0.20697682885666077,1.045206160288312,0.1627626803249866
3,-0.006956484157226164,0.08384482815694547,-0.08296855405564939,0.9338765436066456,-0.1712893276347891,0.15737635932033678,1.0069807366979966,0.16433284347756294
8,-0.004964369677547014,0.08005817792184435,-0.06200952615226153,0.9505552458300537,-0.16187551507226164,0.1519467757171676,1.0049767125771476,0.15691114539471462
