,Coef.,Std.Err.,z,P>|z|,[0.025,0.975],OR,OR CI
0,-0.6231856797930332,0.028121909903312637,-22.160147797060706,8.327697122965625e-109,-0.6783036103800062,-0.5680677492060602,1.8648594340879043,0.05511793058697304
1,-0.4641917963748773,0.02676068271964567,-17.346037141051816,2.113292586053135e-67,-0.5166417707070862,-0.4117418220426684,1.5907280370546912,0.052449974332208896
2,0.2048170476447694,0.026617494943438593,7.694828085062088,1.4168454313578967e-14,0.15264771619695278,0.25698637909258604,1.2273005069037775,0.052169331447816644
8,-0.19267564229749645,0.027648360537934583,-6.968790863137736,3.1967649583558787e-12,-0.2468654331834267,-0.1384858514115662,1.2124894494383474,0.054189790885930254
5,-0.14667565930026655,0.0257851296237532,-5.688381692878878,1.2824891424989822e-08,-0.19721358469951966,-0.09613773390101343,1.1579783226159774,0.05053792539925311
7,-0.056617829685083686,0.025715347448074424,-2.201713579776005,0.027685546874144318,-0.10701898453324354,-0.006216674836923827,1.0582513008717427,0.05040115484815986
6,-0.048121557579685205,0.025887943808459483,-1.858840467814998,0.06304975448533225,-0.09886099507806248,0.0026178799186920634,1.049298197721724,0.05073943749837727
4,-0.04401210798332715,0.025595766061696158,-1.7195073543507218,0.08552202967951131,-0.09417888762096424,0.00615467165430994,1.0449950075939731,0.05016677963763709
9,-0.038486429320251904,0.02572712339520309,-1.4959476319621428,0.13466730240177002,-0.0889106646006678,0.011937805960163986,1.039236625114867,0.05042423528041589
3,0.009896189519888559,0.025738123509596828,0.384495377691331,0.7006113211802705,-0.04054960558856488,0.060341984628342005,1.0099453187336593,0.05044579510845344
