,Coef.,Std.Err.,z,P>|z|,[0.025,0.975],OR,OR CI
1,0.36824635268185074,0.03999251028347105,9.207882927870306,3.3262019695985973e-20,0.28986247287489975,0.44663023248880174,1.445198023532106,0.078383879806951
7,-0.28151335057468496,0.04020137706176304,-7.002579790791353,2.5129168154623975e-12,-0.3603066017446552,-0.20272009940471475,1.3251336874996902,0.07879325116997023
8,-0.19221383258658495,0.03894348537363432,-4.935712115709046,7.985883236630467e-07,-0.2685416613513706,-0.11588600382179931,1.211929639309045,0.07632782876478564
5,-0.16985734322450993,0.04185694559944597,-4.058044388856654,4.948536348077093e-05,-0.25189544910227635,-0.08781923734674353,1.185135771612773,0.0820381058777664
6,-0.14192791901237728,0.03976384871738776,-3.5692701685165518,0.0003579771115582583,-0.2198636303851565,-0.06399220763959805,1.1524935726679988,0.07793571137277923
0,0.11448070636415612,0.037235157921815275,3.0745325856959598,0.002108326884757558,0.041501137878736896,0.18746027484957534,1.1212910070748987,0.07297956848541923
4,0.08839549716229558,0.040577192814398845,2.1784527472518596,0.029372346530874036,0.008865660652336377,0.1679253336722548,1.092420085646282,0.0795298365099592
3,0.061749122717023715,0.03996245910096273,1.5451782524448332,0.12230315318465068,-0.016575857854518143,0.14007410328856557,1.0636954542255812,0.07832498057154186
9,0.019105190713763532,0.040128447880938174,0.4761009140061678,0.6340024858767876,-0.05954512188836794,0.097755503315895,1.019288862701345,0.07865031260213147
2,0.005654798608272745,0.03793556785913459,0.149063238733386,0.8815037329938176,-0.0686975481287063,0.08000714534525179,1.0056708171615867,0.07435234673697905
