,Coef.,Std.Err.,z,P>|z|,[0.025,0.975],OR,OR CI
1,0.25281051979975283,0.06313646074843032,4.004192138787857,6.222977253016788e-05,0.1290653306215026,0.37655570897800306,1.287639271571254,0.12374518917825023
5,0.23510318337537262,0.06230167027571172,3.773625688283152,0.00016089210340038511,0.11299415345828802,0.3572122132924572,1.2650392930230407,0.1221090299170846
6,-0.2379646805934345,0.0638151119646945,-3.728970666463575,0.00019226352900133305,-0.3630400017136268,-0.11288935947324219,1.268664383560439,0.12507532112019232
8,0.13855163235603968,0.06302976914176175,2.1981935558802363,0.027935315710762278,0.015015554884312568,0.2620877098277668,1.1486089854272525,0.12353607747172711
4,-0.12443171440743886,0.06314622846423192,-1.970532800354356,0.04877733964038879,-0.24819604795687142,-0.0006673808580063001,1.1325046840663648,0.12376433354943256
7,0.06694091150454651,0.06323180321591645,1.0586589042220516,0.2897551501372191,-0.056991145476173705,0.19087296848526672,1.0692322969802588,0.12393205698072021
0,0.02528157715298413,0.0623593892549326,0.4054173309752928,0.6851707737859023,-0.0969405798845978,0.14750373419056606,1.025603866487203,0.12222215703758192
9,0.024420939565717316,0.06268164797923423,0.38960270434829214,0.69683035208401,-0.09843283296519964,0.14727471209663426,1.0247215729719983,0.12285377253091695
2,0.020460886393641055,0.06236687680876157,0.328072968226086,0.7428564921026826,-0.10177594597977796,0.14269771876706008,1.0206716453134772,0.12223683237341902
3,-0.002778992960283249,0.0618562155109391,-0.04492665672040333,0.9641657693015928,-0.12401494758167175,0.11845696166110525,1.0027828579406417,0.1212359546213885
