,Odds Ratio of ____ (95% CI),P-value
1,"0.49 (0.37, 0.61)",< 0.00001
2,"0.54 (0.4, 0.68)",< 0.00001
0,"1.59 (1.44, 1.73)",< 0.00001
9,"0.81 (0.68, 0.94)",0.00162
8,"1.25 (1.1, 1.39)",0.00305
3,"1.19 (1.07, 1.32)",0.00582
5,"1.19 (1.06, 1.32)",0.00986
6,"0.87 (0.74, 1.0)",0.0431
7,"1.15 (0.99, 1.31)",0.09077
4,"1.0 (0.87, 1.14)",0.9783
