,Odds Ratio of ____ (95% CI),P-value
0,"2.45 (2.1, 2.8)",< 0.00001
3,"2.28 (1.88, 2.68)",5e-05
7,"1.34 (1.02, 1.66)",0.07485
5,"0.74 (0.42, 1.07)",0.07578
4,"0.85 (0.54, 1.16)",0.29445
1,"1.16 (0.86, 1.46)",0.33121
8,"1.06 (0.71, 1.41)",0.73983
2,"0.95 (0.61, 1.3)",0.7795
6,"0.97 (0.66, 1.27)",0.82282
9,"0.97 (0.57, 1.36)",0.86757
