,Odds Ratio of ____ (95% CI),P-value
1,"0.49 (0.15, 0.83)",4e-05
9,"0.64 (0.35, 0.93)",0.00288
2,"0.64 (0.34, 0.94)",0.00403
5,"1.57 (1.26, 1.88)",0.00457
3,"1.29 (1.0, 1.59)",0.08586
6,"0.8 (0.48, 1.11)",0.16228
7,"0.78 (0.39, 1.17)",0.20525
0,"0.82 (0.5, 1.13)",0.21252
4,"0.85 (0.52, 1.18)",0.33922
8,"0.98 (0.62, 1.33)",0.90034
