,Odds Ratio of ____ (95% CI),P-value
1,"0.66 (0.62, 0.7)",< 0.00001
2,"0.67 (0.62, 0.71)",< 0.00001
5,"1.43 (1.39, 1.47)",< 0.00001
3,"1.37 (1.33, 1.41)",< 0.00001
9,"0.82 (0.78, 0.86)",< 0.00001
7,"0.81 (0.76, 0.85)",< 0.00001
8,"1.21 (1.17, 1.26)",< 0.00001
0,"1.13 (1.09, 1.18)",< 0.00001
6,"0.96 (0.92, 1.0)",0.0435
4,"1.03 (0.99, 1.07)",0.18929
