,Odds Ratio of ____ (95% CI),P-value
1,"0.65 (0.61, 0.69)",< 0.00001
2,"0.71 (0.67, 0.75)",< 0.00001
5,"1.36 (1.32, 1.4)",< 0.00001
3,"1.32 (1.29, 1.36)",< 0.00001
8,"1.23 (1.19, 1.27)",< 0.00001
9,"0.84 (0.8, 0.87)",< 0.00001
0,"1.2 (1.16, 1.24)",< 0.00001
7,"0.85 (0.81, 0.89)",< 0.00001
6,"0.95 (0.91, 0.99)",0.00946
4,"1.04 (1.0, 1.07)",0.08616
