,Odds Ratio of ____ (95% CI),P-value
0,"2.27 (2.07, 2.47)",1.4930258477277756e-15
5,"1.59 (1.35, 1.83)",0.00013554697871066663
2,"0.75 (0.54, 0.96)",0.006545419794761227
1,"1.28 (1.06, 1.5)",0.026298205916768957
3,"0.79 (0.56, 1.01)",0.035513498827157076
6,"1.23 (1.02, 1.44)",0.051492844433411705
7,"1.22 (1.01, 1.44)",0.0637249013737129
9,"0.9 (0.69, 1.11)",0.31233862051976224
4,"0.99 (0.76, 1.21)",0.9106838045350854
8,"1.0 (0.78, 1.22)",0.9910340366466216
