,Odds Ratio of ____ (95% CI),P-value
8,"0.57 (0.51, 0.64)",2.304441650781937e-64
5,"0.63 (0.57, 0.68)",4.322083746446572e-58
7,"0.63 (0.58, 0.69)",3.1875616786455997e-55
6,"0.68 (0.62, 0.74)",1.577274902965183e-39
2,"1.18 (1.13, 1.24)",1.662102354827919e-08
1,"1.17 (1.11, 1.22)",4.738757861029855e-08
3,"1.13 (1.08, 1.19)",5.998980256689671e-06
4,"1.12 (1.07, 1.18)",2.884913685165256e-05
0,"0.89 (0.83, 0.94)",3.508998981362296e-05
9,"1.0 (0.95, 1.06)",0.9145802807037027
