,Odds Ratio of ____ (95% CI),P-value
1,"0.47 (0.31, 0.63)",1.204420397444572e-19
0,"0.51 (0.34, 0.68)",7.237834139942563e-15
2,"1.3 (1.15, 1.45)",0.000710471118230125
9,"1.16 (1.0, 1.32)",0.07398624349234237
6,"0.9 (0.74, 1.06)",0.19515639978741606
4,"0.9 (0.73, 1.07)",0.21644500044208237
7,"0.94 (0.78, 1.1)",0.43636724572837204
5,"1.05 (0.88, 1.21)",0.5950285688216335
3,"0.99 (0.83, 1.16)",0.9335438173178506
8,"1.0 (0.84, 1.15)",0.9546446393102055
