,Odds Ratio of ____ (95% CI),P-value
0,"0.71 (0.66, 0.75)",2.489420172234465e-56
8,"0.81 (0.77, 0.85)",1.856951996689795e-22
1,"0.85 (0.81, 0.89)",8.522489716849376e-14
2,"1.12 (1.08, 1.16)",2.5942739141582864e-07
5,"0.94 (0.89, 0.98)",0.0026575930042928536
7,"0.94 (0.9, 0.98)",0.004876409981707453
6,"0.95 (0.91, 1.0)",0.029732413150944784
3,"1.04 (1.0, 1.08)",0.07910649912250892
9,"0.98 (0.94, 1.02)",0.3676387769238698
4,"0.99 (0.95, 1.03)",0.6860567869650402
