,Odds Ratio of ____ (95% CI),P-value
1,"0.41 (0.22, 0.61)",5.158660086909023e-19
0,"0.65 (0.45, 0.84)",1.4841940003073554e-05
5,"1.46 (1.26, 1.66)",0.00023686855920832935
8,"1.18 (0.99, 1.36)",0.08568519798511195
3,"0.89 (0.7, 1.09)",0.2609631034561639
6,"1.09 (0.9, 1.27)",0.38478790564274945
7,"0.95 (0.76, 1.14)",0.5933454887793708
2,"1.03 (0.85, 1.2)",0.7660671305053555
9,"0.98 (0.78, 1.18)",0.8405869693506804
4,"0.99 (0.79, 1.19)",0.9188084404959187
