,Odds Ratio of ____ (95% CI),P-value
0,"0.54 (0.48, 0.59)",8.182441800056017e-109
1,"0.63 (0.58, 0.68)",2.075935570049239e-67
2,"1.23 (1.18, 1.28)",1.4266819083175582e-14
8,"0.82 (0.77, 0.88)",2.70172906400237e-12
5,"0.86 (0.81, 0.91)",1.307032795213311e-08
7,"0.94 (0.89, 1.0)",0.02767206017267777
6,"0.95 (0.9, 1.0)",0.06259274697820104
4,"0.96 (0.91, 1.01)",0.08503690811114592
9,"0.96 (0.91, 1.01)",0.13398818342707827
3,"1.01 (0.96, 1.06)",0.7011040661010175
